idea,sentence
Resume to provide hygiene kits to pregnant mother's after delivery so that we can be able to maintain good hygiene of our babies.,We need resume provide hygiene kits
Nurses should stop going in lunch time yet there are patients at waiting area who need to get results and treatment in consultation rooms,We need nurses stop going lunch
Social distancing should be respected at waiting hall as well as at waiting area as it's very important nowadays we've many case of covid-19,We need social distancing respected waiting
"Give 60,000= to every person on a monthly basis for people to be eating three times in a day because with 22,000= it is impossible",We need give every person monthly
"For the sake of helping us in getting great service, better to schedule four nurses at consultation rooms as nowadays we've many  patients",We need for sake helping us
"In order to help us not to spend much time in the waiting hall,nurses who receive patients in consultation rooms should be five ",We need in order help us
Fetching duration at water kiosks should be reduced to 7:30am up to 6:30pm to help students who want to fetch water before going to school.,We need fetching duration water kiosks
Tell them to distribute CSB+ for children at Nakivale health center to avoid many children being affected by kwashiorkor,We need tell distribute children nakivale
The NGOs should stop digging communal latrines because it's unhygienic area due to public so construct latrine for each family.,We need the ngos stop digging
Planting trees in the swamp in order to protect environment which can make us to have enough rain ,We need planting trees swamp order
We need to have four nurses in consultation rooms rather than having three nurses only because we can get service before 12:30 pm,We need we need four nurses
They should find how the provision of transfers can be quickened for a patient to get the required treatment on time.,We need they find provision transfers
Form new farming groups for members not in groups yet so that we have access to seeds and digging tools to increase crop production.,We need form new farming groups
"It's around 4 days without getting service from dental, in case dentist isn't working, better to appoint another nurse for us to be served",We need it around 4 days
They have to increase the number of consulting nurses in a way to quicken the services there because they delay a lot with one nurse.,We need they increase number consulting
Relocate the sty's of pigs from kisoro village so that this bad smell that is spreading allover the trading center can be reduced.,We need relocate sty pigs kisoro
"Instead of reducing money ration, increase it for women and children to get food because they are the most affected ones when food is little",We need instead reducing money ration
"As nomadic people, the NGOs should do water tracking for our cattle to survive during this drought season.",We need as nomadic people ngos
When mothers have babies less than one month would be taught which FP method can use so they can't have lack of breast milk,We need when mothers babies less
Results from laboratory service should be given on time in case there is no problem of electricity instead of keep waiting for them,We need results laboratory service given
"Our emergency room need to be enlarged so that five patients might not use two beds that we've in emergency, it'll be more helpful",We need our emergency room need
We need iron sheet to cover leaking houses and to replace the old plastic sheet teared heat sun.,We need we need iron sheet
There should be wheelbarrows for collecting rubbishes from kisoro trading center because cleaners don't have what to use to carry them.,We need there wheelbarrows collecting rubbishes
Supporting groups following locations they are coming from because they keep supporting groups from Kisoro only ,We need supporting groups following locations
Consult the parents to make gender balance because most of parents isn't send the girls for education facilities so consult to send girls.,We need consult parents make gender
Increase on money from 22000 to 55000shillings instead of reducing to 19000shillings because we are going to die of hunger ,We need increase money 22000 55000shillings
Provide sanitation tools to hygiene volunteers which will help them to clean the environment every campaign.,We need provide sanitation tools hygiene
"Prescribe the medicine which are available in pharmacy, so that we can't be told to go back in consultation for change.",We need prescribe medicine available pharmacy
Technicians should support pregnant mothers to get results on time so that they might bring them in antenatal service before lunch time,We need technicians support pregnant mothers
"Money ration should be increased to 50,000= per individual to help us to depend on balance diet because money that is available is little",We need money ration increased per
"Keep the system of conducting sessions in waiting hall early while we're waiting for the service,it'll help us in acquiring knowledge",We need keep system conducting sessions
Extend water from mukagando to Rulongo c village so that we can have clean water and stop sharing stream water with animals.,We need extend water mukagando rulongo
Provide umbrellas for each beget mother after discharging them for improving customer care,We need provide umbrellas beget mother
Empower the livelihoods of single parents by engaging them in income generating activities so that they can become self reliant.,We need empower livelihoods single parents
Provide aqua tablet to treat water as most water are fetched from dams which has bacteria .,We need provide aqua tablet treat
Start providing service early in antenatal service so that pregnant mothers might get great service without spending much time in the hall,We need start providing service early
"One nurse should not combine many tasks, so that we can get services as long as we arrive at a service point.",We need one nurse combine many
The community should assign people to clean water points in order to avoid water contaminations.,We need the community assign people
 Increase on money of PSNs at 80000shillings in order for us be buying soft food like matooke& rice since we don't have teeth to chew maize,We need increase money psns 80000shillings
Provide land vulnerable people moved from Dadaab refugees camps because we are homeless long time.,We need provide land vulnerable people
Continue raising awareness about corona-virus because people are no longer respecting prevention measures ,We need continue raising awareness people
Employ us with skills in training students on vocational skills so that we too can have jobs instead of bringing facilitators from far.,We need employ us skills training
"The nurse who works in minor surgery should stay there, so that we can't wait for long time without being served.",We need the nurse works minor
Ministry of water should dig boreholes as there is scarce of water since rain is mostly used in our villages.,We need ministry water dig boreholes
Continue to disseminate preventative measures of corona virus to people because nowadays they are reluctant to respect them.,We need continue disseminate preventative measures
"Isn't pretty good to spend more than 2weeks without getting a service from Dr yet we got a rendezvous from him,better to recruit another one",We need is pretty good spend
Put in place hand washing facilities in congested places so that to encourage people to continue washing hands to avoid corona virus.,We need put place hand washing
Dig some rubbish pits at the markets to maintain the environment clean for business activities as it also prevents contamination.,We need dig rubbish pits markets
Some doctors could respect appointment they give we patients and be available to avoid missing their consultations,We need some doctors could respect
Increase on food ration at least 12kgs of maize like before because 8kgs is not enough,We need increase food ration least
"For the sake of helping us in getting service from dental service, better to appoint another nurse, as we're not getting service from dental",We need for sake helping us
"To reduce unemployment of the youth the agencies should offer investment opportunities for them, so that they can create their own business",We need to reduce unemployment youth
There is many young girls those married early those get physical and psychological problems so mobilize community early marriage.,We need there many young girls
They might discharge we patients after analyzing if we found a total recovery to avoid coming back in IPD after two days ,We need they might discharge patients
Ministry of health should conduct health awareness and discourage community gathering public areas to minimize corona spread.,We need ministry health conduct health
Most young girls are suffering the harmful practice of FGM so conduct community FGM awareness sections to decrease or stop this bad practice,We need most young girls suffering
Be moving down in the villages to verify houses that are reported to be poor so that you can get the real information and know what to do  ,We need be moving villages verify
"Since support of food is little, introduce a system of forming saving groups for us to be self reliant because we are stressed due to hunger",We need since support food little
For the sake of not wasting vehicle fuel to Ngarama hospital in the afternoon while we'll not get service better to postpone that rendezvous,We need for sake wasting vehicle
Supporting Twungubumwe group of Rulongo A with chickens in order to increase what we have because we are very many in our group ,We need supporting twungubumwe group rulongo
Support us Ngurwe farmers with ox plough so that we can cultivate enough land and reap enough produces for income purposes.,We need support us ngurwe farmers
Better to cover the vane chamber to protect the vane from being accessed by everyone because it is what leads it to be damaged easily. ,We need better cover vane chamber
Beating of children is a normal practice of parents and children so told the parents and teachers that the unkindness beating is child abuse,We need beating children normal practice
Distribute soap to people who missed distribution so that we can have what to use when cleaning our clothes.,We need distribute soap people missed
Avail one CHW in each hospitalization Ward so that when coming and be hospitalized accidentally we can pass  information through them ,We need avail one chw hospitalization
Construct dams in the clusters to help us access water for irrigation so that we continue to grow vegetables especially in the dry season.,We need construct dams clusters help
Providing tree seedlings to plant during rainy season so that we can harvest firewood in future as they don't provide them ,We need providing tree seedlings plant
"Increase on money in order to receive 31,000=, this will reduce on debts we get from agents who distribute cash due to little money we get",We need increase money order receive
Rehabilitation of our wash stand will keep our clothes safe when washing because it has small grits that tear them due to being broken. ,We need rehabilitation wash stand keep
"In order to make service batter, nurses who treat patients in consultation rooms should be increased at least from three up to five nurses ",We need in order make service
Advise bar owners to put hand washing facilities at the entrances of their houses so that people can be cleaning their hands anytime.,We need advise bar owners put
"Since we evacuated neighbor country we are homeless, so humanitarian assistance should construct us temporary shelter to settle. ",We need since evacuated neighbor country
Lab technicians may fasten to bring we patients results so we can't wait more than three hours ,We need lab technicians may fasten
Support people who graduated in Nakivale vocational training center in tailoring with tailoring machines so that they can have occupation ,We need support people graduated nakivale
"Add-on one more nurse at consultations who'll treat out patients, it'll help us in getting quick service and do other activities at home",We need one nurse consultations treat
Supplying water twice a day will help us all to be served because the workers are not available for the morning water. ,We need supplying water twice day
Train some groups of women how to make soap because we also need to know how to do it and make for our own use.,We need train groups women make
Let health concerners educate community important of health and encourage sick people to visit healthcare.,We need let health concerners educate
Support us youths with capital so that we can generate more income from investments.,We need support us youths capital
Better to provide token numbers and following them while finding out their notebooks so that patients might be treated accordingly,We need better provide token numbers
"If children are consulted separately from adults, the services will be fast and we can all be served before lunchtime.",We need if children consulted separately
Nurses would try to serve us within short time especially nowadays there are many patients so that we can get treatment before lunch time,We need nurses would try serve
Distribute CSB for porridge in order to prepare porridge for children because we don't have money to buy milk for them,We need distribute csb porridge order
Find some simple jobs to us the youth that are uneducated since the issue of unemployment is making us get engaged in bad peer groups.,We need find simple jobs us
"These sack bags in drainage beside water stand are old, better to replace them with new ones for wastes to flow well for good hygiene. ",We need these sack bags drainage
"In case a patient have been treated many times at Ngarama hospital and no change, better to refer that patients to other hospitals",We need in case patient treated
Care takers to be supported with goats so that they can be getting little money to support orphans they have ,We need care takers supported goats
Nurses could allow me meeting doctors instead of attending more two times without writing me an appointment,We need nurses could allow meeting
Isn't pretty good to avail a car which will transport patients to Ngarama hospital at 12am yet some of them are suppose to be treated early,We need is pretty good avail
We need our wash stand checks to be paved so that its grits can be covered because they tear the clothes while washing. ,We need we need wash stand
Let Agency to build community centre to gather people when we are discussing community issues.,We need let agency build community
"Start to serve at 08:30 am, so that we can served early and get the time going home to prepare lunch for our children before it's too late.",We need start serve served early
Resume sponsoring of youth to vocational training schools as usual such that we get knowledge to enable us get jobs to earn money.,We need resume sponsoring youth vocational
"For the sake of speeding up the service at health center, there should be the recruitment of two more nurses at this health center",We need for sake speeding service
Train us business owners with business skills so that we can have more knowledge in building successful businesses.,We need train us business owners
Let us be constructing houses with iron sheets because people build them with fear that they may be destroyed if they see them ,We need let us constructing houses
"Switching on television which is in waiting hall so that we might not feel bored, as matter of fact the television was bought by alight",We need switching television waiting hall
Increase on money from 22000 to 6000shillings because human being can't eat 700 for the whole day and yet food has been increased in shops,We need increase money 22000 6000shillings
Consultants would not pick up phones so that they can speed consulting we patients for better follow up,We need consultants would pick phones
"As they construct for PSNs, widows should not be left behind so that they can be protected from men who ask for sex to construct for them ",We need as construct psns widows
CHW should visit IDPs zone and encourage pregnant women to deliver healthcare instead of home delivery because it's risky.,We need chw visit idps zone
Construct shelters in remote areas where people with mental disorders can stay and fence them because others are destructive,We need construct shelters remote areas
Advise both levels of administration to be respecting one another because we are the ones who face the consequences of their disagreements,We need advise levels administration respecting
Brief patients to wear facemasks correctly as many of them are wearing it on the chin and some of them are taking it in the hand ,We need brief patients wear facemasks
Providing sports materials for youth at the midnimo2 to play their time because we are unable to purchase from market due poor financial,We need providing sports materials youth
During raining season my house is leaking water from heavy so that Agency should support us iron sheet to replace the old one.,We need during raining season house
Support us women of Humura zone who deals in tairaling with materials and threads so that we can make our business more enjoyable. ,We need support us women humura
"Let them increase on money ration at least 100000 shillings for us be buy food, vegetables and fruits for the better healthy",We need let increase money ration
Construct shelters for keeping our animals safe because other people kill them when found moving around,We need construct shelters keeping animals
Avail machine dryer of bedsheets so that during rain they can't take them to be washed and wait it for the nest day ,We need avail machine dryer bedsheets
Conduct sexual partner harassment awareness sections because community isn't recognize violence.,We need conduct sexual partner harassment
As customers in healthcare need to support free face masks to prevent corona virus spread.,We need as customers healthcare need
"In charge of food should increase on money ration to 50,000=, this will help us to buy cereals and vegetable because 22,000= can't buy both",We need in charge food increase
We wish that the serving nurse at minor surgery stays around so that we can be served on time we've waiting for long to be served.,We need we wish serving nurse
The agency should coffer jobs for the youth who graduated from the country university to encourage them rather than foreigners,We need the agency coffer jobs
Schedule another hepatitis screening so that the ones who left out with the last one can be also screened.,We need schedule another hepatitis screening
It would be better if they can provide milk powder and biscuits for children who are suffering from kwashiorkor because milk is expensive,We need it would better provide
Doctors may receive we patients who need further follow up when it is not on appointment day to avoid any issue we can face ,We need doctors may receive patients
Bring a baking machine here in the camp so that us with skills in baking can help even to teach the rest hence development amongst ourselves,We need bring baking machine camp
Health concerners should visit main markets and raise awareness on preventing corona virus through wearing face masks and sanitize hands.,We need health concerners visit main
NGOs should construct shelter divorced women because the money we earn it's not divided into rent and family bills.,We need ngos construct shelter divorced
Change the roofing of our houses to iron sheets so that we are not worried of termites because now all our roof is leaking,We need change roofing houses iron
Nurses should be five in consultation rooms instead of having three nurses only yet this health center receive many patients,We need nurses five consultation rooms
There many rape victims those suffered physical and psychological problems caused by rape violence so give support for rape victims.,We need there many rape victims
"Increase on money ration to 50,000= per month to everyone for life to be better because some of us we depend on money ration only",We need increase money ration per
Female condoms are needed in the box so that after being treated we can take them for better prevention,We need female condoms needed box
Children whose mothers have other issues would be first vaccinated to avoid them being in crisis,We need children whose mothers issues
Have two car while referring patients at Ngarama hospital so that one can facilitate patients in case one isn't available,We need have two car referring
Avail dermatologist so our kids who have skin diseases can get further treatment,We need avail dermatologist kids skin
It would be better if they can give us rice instead of maize because many of us we don't have money for taking maize to the milling machines,We need it would better give
Livelihood sector should support us with chicks to rear since the ones we had were killed by chicken pox. ,We need livelihood sector support us
Prioritize volunteers who have uniforms from taking drugs in pregnancy so we can go back to work for the camp residents,We need prioritize volunteers uniforms taking
Provide us microfinance to scale up our small business in order to produce more income to manage family,We need provide us microfinance scale
Better to teach deeply we mothers how to use traditional method of family planing to avoid some of us facing side impacts,We need better teach deeply mothers
"There should be a change on money we get, increase it to help us to buy hens to keep that will be giving us more money to buy enough food",We need there change money get
"Tell them to be allowing us to cut down trees for construction in tree plantations around, this can motivate us to plant more trees  ",We need tell allowing us cut
As IDP customers we are requesting to establish free healthcare to avoid travelling far locations for medication.,We need as idp customers requesting
Avail a devise to detect poison our kids are given in community to avoid us being prescribed drugs for reducing temperature,We need avail devise detect poison
Put much more efforts in starting time so that we can get treatment at least from 8:00 am rather than getting it around 9:00 am,We need put much efforts starting
"As there are many patients who are waiting to be served, better to assign two nurses in consultation in order to speed up the services.",We need as many patients waiting
Build for my mother who is falling sick constantly and can't move to the bush looking for construction materials now,We need build mother falling sick
Increase on the number of PSNs to construct for this year because last year few were constructed for yet many are living in poor houses ,We need increase number psns construct
Construct shelters to people with disability in order to be motivation and get better houses to live long-term. ,We need construct shelters people disability
Bring mortuary at Alight health center so that we can't send again someone who die far from mahama camp,We need bring mortuary alight health
Laboratory technicians should stay in laboratory in case there are many patients so that they can be served well without spending much time,We need laboratory technicians stay laboratory
When we are so many at the immunization they would turn on the air conditional because the hall is hot which cause our babies crying a lot ,We need when many immunization would
"Continue to provide such good services, in order to improve better health in our community and in the host community.",We need continue provide good services
Ministry of health should reach remote areas and conduct awareness to discourage community traditional treatment.,We need ministry health reach remote
It would be better if nutritional team can move door to door to identify the health of children in community since some parents don't care,We need it would better nutritional
Increase on money ration to enable us to buy variety of food because reducing on money we get is bad,We need increase money ration enable
Old maternity should be as emergency service so that two patients can stop sharing one bed in case there are more than four patients,We need old maternity emergency service
"Speed up the services delivery, so that we can't stay here for long time yet we have other things to do at home.",We need speed services delivery ca
Construct latrines vulnerable customers living this area because using to the bush we can meet violence like rape.,We need construct latrines vulnerable customers
"In order to reduce malnutrition cases in children, they should again distribute CSB+ for porridge because they no longer give  them to us",We need in order reduce malnutrition
Provide chlorine customers at Danwadaag village in order to disinfect water points areas because mosquitoes are increasing.,We need provide chlorine customers danwadaag
Request special drugs which are not available in pharmacy nowadays so that patients might get all kind of medicines on time,We need request special drugs available
Start to receive those who have gas distribution because we can't queue and get two services in two different service points,We need start receive gas distribution
Think of the way to support us young girls who gave birth at home financially so that we can be able to earn money to help in basic needs.,We need think way support us
"As divorce ladies,we request the humanitarian agency to empower women's in order to produce income because they manage the families properly",We need as divorce ladies request
More benches at pharmacy waiting area are needed in order to help us to apply social distancing ,We need more benches pharmacy waiting
We request the government to ensure banishment of every crime against woman and children in order  community stop violence.,We need we request government ensure
Start to distribute CSB for children to have good health because they are soon becoming malnourished due to lack of CSB porridge,We need start distribute csb children
Advise our husbands to reduce multitasking we pregnant mothers in community to avoid miscarriage because they don't understand us,We need advise husbands reduce multitasking
Provide mattresses vulnerable customers in order to sleep comfortable at night instead of using mats which is not suitable for sleeping.,We need provide mattresses vulnerable customers
Its better for community service to think of permanent shelters for us since we can't afford by ourselves for a happy life,We need its better community service
Increase on money ration at least 31000shillings like before because the money we receive is little compared to the prices of food ,We need increase money ration least
Start providing medicines early so that distribution time should be done in short time without spending much time at pharmacy ,We need start providing medicines early
Agencies dealing with sanitation should create a garbage collection sites in villages in order to get where to dump rubbishes.,We need agencies dealing sanitation create
At healthcare encourage customers to follow doctor's recommendations and how dosage prescribed.,We need at healthcare encourage customers
Hygiene promoters should conduct hygiene sessions customers living at returnees settlement because there is poor hygiene in our village.,We need hygiene promoters conduct hygiene
"Better if they can give us 31,000= again for us to buy nutritious food because reducing it every time leads to poor feeding",We need better give us us
To have containers in kisoro trading center where we shall be depositing rubbishes instead of scattering them can improve sanitation.,We need to containers kisoro trading
Nurses who work at YFS could check us pregnancies without sending us at ANC because we are under 25yesrs ,We need nurses work yfs could
Avail a good place where referred patients might sit while waiting to get a car which can facilitate them instead of sitting outside,We need avail good place referred
Construct one more vocational skills training school in byabakora zone so that we are able to acquire skills that will sustain us in future.,We need construct one vocational skills
NGO should take responsibility of returnees customers and construct them shelter to settle because we can't afford to pay rent every month's,We need ngo take responsibility returnees
Advise people to stop disposing used masks because they are reused by children and this can easily put their lives at risk.,We need advise people stop disposing
"In case a doctor is not available, better to delegate other person who can serve us well instead of telling us to keep waiting",We need in case doctor available
Investing the youth who are running small businesses to expand the economic in order to produce more income and employ the jobless youth,We need investing youth running small
Let them tell parents to vaccine their children to fight against measles diseases.,We need let tell parents vaccine
Construct small units in all zones for counseling because because the previous one are vandalized,We need construct small units zones
Guards should not refuse to open this gate because we have hepatitis appointment at ANC service,We need guards refuse open gate
Provide some food nutrition to breastfeeding mothers in order for us to have healthy babies,We need provide food nutrition breastfeeding
"We don't have water containers to fetch and it's very important for us,so wash partners should provide storage like jerrcans.",We need we water containers fetch
"The one who is supposed to work in minor surgery should stay there, so that we can't get late services.",We need the one supposed work
Install tanks of 500 litres in PSN compound to collect rain water for home use because they can't walk to the borehole,We need install tanks 500 litres
Agencies should give us investment as we are customers at Dalhiis camps especially customers at markets in order to scale up our bussines,We need agencies give us investment
Pregnant mothers who have husbands who are not around due to seeking job at Kigali they can examine us instead of requesting CHWs ,We need pregnant mothers husbands around
Nurses should support hospitalized patients to medicines without coming at pharmacy yet it is not easy to prioritize them,We need nurses support hospitalized patients
Support goat rearing groups with hybrid goats which produces either 3 or 4 at once so we can get money from the sales to pay school fees.,We need support goat rearing groups
Increase on money ration at least 100000shillings for us to food and vegetables for the better healthy,We need increase money ration least
"Start to serve in minor surgery early by 09:00 am, so that we can't wait for long time as we are suffering.",We need start serve minor surgery
Two nurses at the distribution point of medicines will support us in getting quick and great service as one nurse can't provide it,We need two nurses distribution point
Health center would rehabilitate mental service so that it can have nice appearance as it is too old,We need health center would rehabilitate
If they can support us with poles to renovate our latrines because the poles we used earlier they are breaking down,We need if support us poles
Think of some economic activities that can be done by the youth so that we can get some income since we are so idle in the community.,We need think economic activities done
Organize training on conflict management to the jobless youth around IDPs and support us microfinance to start small business.,We need organize training conflict management
When nutritionists start a bit late to check weights of our babies nurse would vaccinate them at the same time instead of waiting for long,We need when nutritionists start bit
Availing 2benches at waiting area for the sake of respecting social distancing at pharmacy as it's not respected at all yet it's important,We need availing 2benches waiting area
The nurse who work in PMTCT could receive only we pregnant mothers when our husbands are not around to avoid missing service ,We need the nurse work pmtct
Better to have alight's worker who'll be in charge of doing follow-up of our transfers from Kigali as we always get them after many months,We need better alight worker charge
"Construct latrines to defect properly instead of defecting openly because it causing poor,so that Agencies should build us toilets to access",We need construct latrines defect properly
Rape is the commonest violence in our community so mobilize the community this kind of violence and told the rights of woman.,We need rape commonest violence community
"Always assign two nurses in consultation, so that we can get fast services in a short time.",We need always assign two nurses
Mediate between refugees and host community to allow us cut grass and poles for construction because we want to add more rooms,We need mediate refugees host community
Remind them to distribute plastic sheetings so that we can thatch our houses very well since rain season in coming in soon ,We need remind distribute plastic sheetings
Offer loans to us people with small business so that we can expand them since we to earn more profits and develop ourselves.,We need offer loans us people
Promote poultry keeping by providing chickens to every household such that it generate both food and money to make life easier.,We need promote poultry keeping providing
Put pure water in the filters so that we can't miss what to drink as most of us pass much time waiting the nurse to treat us,We need put pure water filters
"For quickening the services at consultation, each consultation room should have a nurse serving in because always only one room is opened.",We need for quickening services consultation
Schedule two nurses in pharmacy during distribution of medicines in order to reduce time we spend at pharmacy waiting area ,We need schedule two nurses pharmacy
Better they start 8am consulting patients in order to help us proceed with other treatments early because they delay to start.,We need better start 8am consulting
Allowing PSNs to be fetching water from water kiosks without pay would be important because we don't have where to get money from like other,We need allowing psns fetching water
Pregnant mothers should be prioritized while referring patients at Ngarama hospital so that they might take place before others,We need pregnant mothers prioritized referring
"Start to serve at least at 08:30 am, so that we can't spend here so much time as we arrived early in the morning.",We need start serve least ca
Avail electricity in these plugs so that we can charge our phones before getting treatments at ANC service,We need avail electricity plugs charge
People who graduated in Griffin worx trainings should be supported with capitals so that they can put in practice what we learned ,We need people graduated griffin worx
Business customers should pay the rent of the vehicle who collect garbage at the market to contain improve poor hygiene in the public area ,We need business customers pay rent
Give us pieces of cloth and threads since we have skills in making table cloth as young girls so that we can earn some income after selling.,We need give us pieces cloth
Resettle refugees in old case category so that new arrivals can get better services of food because they are poor due to many people,We need resettle refugees old case
Provide drilling machines to Kasonga metal workshop to ease our work and do our work productively and effectively.,We need provide drilling machines kasonga
"The hygiene of the town is not good nowadays, so conduct hygiene campaign to eradicate the rubbish because it's surrounded everywhere.",We need the hygiene town good
Conduct sanitation and hygiene awarenesses in all villages so that people can understand the importances of living in clean environment.,We need conduct sanitation hygiene awarenesses
"Better to receive we husbands, our wives on first pregnancy check up and provide us results of our tests at the same day we can't come back",We need better receive husbands wives
Start checking our babies weights early so that the can be vaccination be done early,We need start checking babies weights
Schedule two nurses in pharmacy in order to serve us without spending much time at waiting area,We need schedule two nurses pharmacy
They should expand these IPD rooms instead of adding more beds inside yet the size of the room is constant in order to prevent congestion.,We need they expand ipd rooms
Establish carpentry shop in each cluster to enroll interested youth for training so as to acquire skills and later support the community.,We need establish carpentry shop cluster
Display stickers showing good sanitation practices in order to enlight the community to improve sanitation and hygiene.,We need display stickers showing good
"Due to lack of money to buy nutritious food, give us porridge flour to prepare porridge in order our children to benefit vitamins & proteins",We need due lack money buy
Adult people need more training about how to manage their business opportunities so it's good livelihood sectors to visit private businesses,We need adult people need training
Support Twungubumwe group of Michinga III with pigs so that we can increase what we have in order get enough manure ,We need support twungubumwe group michinga
Encourage community participation to clean these roads in villages because they becoming bushy and can herbour robbers at night.,We need encourage community participation clean
Let finches of those who are late cleaners who are working at ANC so we can't wait till they finish to receive those who come early morning,We need let finches late cleaners
Encourage them to give food that contains vitamins such that our children's hair can regain it's colour than reddish ,We need encourage give food contains
"Since refugees are equal, give us same money to help us to buy enough food because food we buy using 22,000= is little",We need since refugees equal give
Facilitate us who completed vocational skills training so that we can put in place what we were taught since no means of getting capital.,We need facilitate us completed vocational
The orphan children in our community isn't get any care because there is no orphan facility to kept and give care implement orphan facility.,We need the orphan children community
Support Rulongo c village with small plastic tanks for harvesting rainy water such that we can stop using stream water that contains germs.,We need support rulongo c village
When we have the same date of appointment with my neighbors at ANC they may allow her taking my fiche in my behalf for better support,We need when date appointment neighbors
Child abuse are more common in our community so conduct child abuse awareness sections in order our community give the children their rights,We need child abuse common community
Support vulnerable people with microfinance program to cover their daily life because we don't have job and getting money is difficult,We need support vulnerable people microfinance
Add for us plastic sheetings so that we use for other home activities and even sleeping because we don't have proper bedding,We need add us plastic sheetings
Bring hoes and seeds within this month to enable us clear gardens ready for planting as we await for the planting season.,We need bring hoes seeds within
Old maternity should be used as emergency service so that many patients might get service well instead of two patients sharing one bed,We need old maternity used emergency
People with disabilities to be supported with goats so that they can be getting little money to buy soap as they can't work in gardens ,We need people disabilities supported goats
Tell them to be giving vegetables to pregnant mothers for them be getting vitamins and produce healthy babies,We need tell giving vegetables pregnant
Increase nurses who receive and treat we pregnant mothers so we can't pass much time waiting and be bored at ANC ,We need increase nurses receive treat
"Organizing trainings about SGBV which will target young people who're addicted to the drugs, it'll contribute to the reduction of SGBV",We need organizing trainings sgbv target
Spray the full latrines in order to reduce insects because it causing unhygienic situation and also can lead diseases like diarrhoea.,We need spray full latrines order
Provide hygiene volunteers protective gears such as gumboots and gloves to motivate them continue their voluntary work.,We need provide hygiene volunteers protective
"We are promoting our income in order to create businesses, so that Agencies should support support us microfinance.",We need we promoting income order
"GBV should support their clients by forming small groups which intends to do small business and support them financially,it'll be more great",We need gbv support clients forming
We suggest to take exams of our first pregnancies at the same day we come so that most of husbands can't discouraged come back ,We need we suggest take exams
Budget for renovation of PSNs houses as  most of them are bad due to they were  poorly constructed ,We need budget renovation psns houses
Funding women group of Busheka with capitals so that we can be getting loans in order to start small businesses ,We need funding women group busheka
"Connect taps vulnerable families who don't have money to buy water because we are unemployed,so that organizations should connect us taps.",We need connect taps vulnerable families
Implement hand washing machines in forent of public buildings to encourage people to wash their hands to prevent spread of covid19.,We need implement hand washing machines
"For the sake of raising awareness of SGBV, Alight should brief CAs to mobilize camp residents by doing door to door in the camp ",We need for sake raising awareness
"They are supposed to give us 60,000= per month and per head to reduce on malnutrition cases because money they give us is not enough ",We need they supposed give us
Conduct GBV awareness sections in order our community avoid Violence against woman because violence are more common in our community.,We need conduct gbv awareness sections
When being late to be given fiche they shouldn't make us to be the last to be checked pregnancies to avoid feeling much sleepy ,We need when late given fiche
Increase on food ration at least 8kgs of beans because 2kgs is not enough to complete a month ,We need increase food ration least
Wash sector should put dustbin alongside roads to facilitate easy disposal to discourage littering for clean environment.,We need wash sector put dustbin
Encourage people working in bukere market to resume hand washing since they no longer do it yet corona is still active.,We need encourage people working bukere
Create job opportunity for the unemployed youth to get better future because the agencies should stop recruiting staff form other places,We need create job opportunity unemployed
Health sector should facilitate immunization awareness and inform parents to vaccine their babies.,We need health sector facilitate immunization
Wash sector should construct permanent toilet help community use long time because temporary become full in short period.,We need wash sector construct permanent
Construct additional patient's ward which can be used in case there are many patients in emergency room instead of squeezing,We need construct additional patient ward
Wash partners should conduct mass hygiene  awareness campaign to improve hygiene conditions in the camp.,We need wash partners conduct mass
It would be better if they can increase on money ration at least 50000shillings for us to buy food and fruits to make juice for our children,We need it would better increase
When coming on pregnancy check appointment they may start on those who are very  weak so that they can go back to rest in community,We need when coming pregnancy check
Help all refugees to start up some business so that they can earn money to supplement on the little store cash received .,We need help refugees start business
Providing charcoal so that people can stop to be going in Tanzania because we get many problems from there ,We need providing charcoal people stop
They should make sure the have enough drugs in the store so that they can be giving us a full dose for us to heal completely,We need they make sure enough
"Most people in the IDP use bushes as toilets which is dangerous and can lead women abuse, dig enough latrines for the community. ",We need most people idp use
Better to construct new emergency room which can receive many patients instead of receiving two patients only,We need better construct new emergency
